soy sauce,9
mirin,9
sake,7
salt,7
green onions,7
sugar,6
water,5
tofu,4
miso paste,4
firm tofu,3
rice vinegar,3
oil,3
olive oil,3
eggs,3
nori,3
pepper,3
veggies,2
scallions,2
soba noodles,2
tamari soy sauce,2
panko breadcrumbs,2
flour,2
sesame oil,2
seaweed,2
ginger,2
garlic,2
corn starch,2
white miso,2
red pepper flakes,2
vegetable oil,2
sesame seeds,2
fresh ginger,2
dashi,2
sushi rice,1
enokitake,1
low sodium soy sauce,1
sea bass fillets,1
brown rice,1
rice,1
yellow miso,1
Japanese rice vinegar,1
ginger root,1
shichimi togarashi,1
milk,1
spaghetti,1
wasabi,1
shiitake,1
awase miso,1
all-purpose flour,1
baking powder,1
ground ginger,1
dashi kombu,1
bamboo shoots,1
canola oil,1
gari,1
chicken carcass,1
minced ginger,1
butter,1
yellow onion,1
apple cider vinegar,1
tahini,1
freshly ground black pepper,1
stevia,1
baking soda,1
curry powder,1
soda water,1
sweetener,1
peanut oil,1
extra firm tofu,1
white beech mushrooms,1
broad beans,1
rib eye steaks,1
fish balls,1
spring onions,1
beets,1
dijon mustard,1
squid,1
baby corn,1
turmeric,1
carrots,1
young ginger,1
tomato sauce,1
vegetable stock,1
white sesame seeds,1
worcestershire sauce,1
tomato ketchup,1
ginger juice,1
water chestnuts,1
watercress,1
sweet onion,1
egg yolks,1
cane sugar,1
sauce,1
greens,1
granulated white sugar,1
sesame,1
cabbage,1
cilantro,1
brown sugar substitute,1
thai chile,1
ice,1
cauliflower,1
kosher salt,1
baby bok choy,1
vanilla,1
boneless skinless chicken breasts,1
mashed potatoes,1
red chili peppers,1
miso,1
pork loin,1
oyster sauce,1
veal mince,1
chili garlic paste,1
hatcho miso,1
mixed mushrooms,1
shiso leaves,1
black sesame seeds,1
chicken heart,1
mentaiko,1
mushrooms,1
fresh basil,1
nutmeg,1
large eggs,1
lamb,1
brown sugar,1
