olive oil,8
garlic,6
garlic cloves,5
extra-virgin olive oil,5
kosher salt,5
red bell pepper,4
purple onion,4
tomatoes,3
saffron,3
salt,3
smoked paprika,3
lemon,3
black pepper,3
lemon wedges,2
bomba rice,2
chorizo,2
chicken stock,2
carrots,2
yellow onion,2
plum tomatoes,2
chicken breasts,2
tomato juice,2
spanish chorizo,2
white wine vinegar,2
sherry vinegar,2
onions,2
paprika,2
ground cumin,2
cucumber,2
turmeric,2
evaporated milk,1
bay leaves,1
clove,1
white sugar,1
chopped parsley,1
ground coriander,1
butternut squash,1
sea salt,1
white wine,1
short-grain rice,1
shrimp,1
cracked black pepper,1
cumin,1
slivered almonds,1
thyme,1
potatoes,1
old bread,1
barramundi fillets,1
dried apricot,1
dry white wine,1
lemon zest,1
seedless cucumber,1
vinegar,1
leaf parsley,1
spring water,1
english cucumber,1
Italian parsley leaves,1
roasted red peppers,1
saffron threads,1
rosemary,1
heirloom tomatoes,1
pheasant,1
flat leaf parsley,1
chickpeas,1
blanched hazelnuts,1
bell pepper,1
ground black pepper,1
dried thyme,1
chili,1
eggs,1
country bread,1
hothouse cucumber,1
cilantro,1
white currant,1
parsley,1
hot red pepper flakes,1
turnips,1
sardines,1
melon,1
frozen peas,1
mussels,1
red wine vinegar,1
crushed red pepper flakes,1
spanish mackerel fillets,1
vanilla extract,1
sweetened condensed milk,1
parsnips,1
chicken broth,1
pepper,1
roma tomatoes,1
leeks,1
chile pepper,1
tomato paste,1
salt and ground black pepper,1
sherry wine vinegar,1
